"","2019","2020"
"Northern Africa and Western Asia",10.6,11.7
"Latin America and the Caribbean",8,10.3
"Europe and Northern America",5.4,7.4
"Central and Southern Asia",5.3,6.8
"Sub-Saharan Africa",6,6.3
"Australia and New Zealand",5,6.3
"Eastern and South-Eastern Asia",3.9,4.3
"Oceania* ",3.3,3.7
"",,
"World",5.4,6.5
